Entry	yourlist:M20170210A7434721E10EE6586998A056CCD0537E71EBC78	Involvement in disease	Cross-reference (Orphanet)
P50539	MXI1	DISEASE: Prostate cancer (PC) [MIM:176807]: A malignancy originating in tissues of the prostate. Most prostate cancers are adenocarcinomas that develop in the acini of the prostatic ducts. Other rare histopathologic types of prostate cancer that occur in approximately 5% of patients include small cell carcinoma, mucinous carcinoma, prostatic ductal carcinoma, transitional cell carcinoma, squamous cell carcinoma, basal cell carcinoma, adenoid cystic carcinoma (basaloid), signet-ring cell carcinoma and neuroendocrine carcinoma. {ECO:0000269|PubMed:7773287}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	
Q9NR99	MXRA5	DISEASE: Lung cancer (LNCR) [MIM:211980]: A common malignancy affecting tissues of the lung. The most common form of lung cancer is non-small cell lung cancer (NSCLC) that can be divided into 3 major histologic subtypes: squamous cell carcinoma, adenocarcinoma, and large cell lung cancer. NSCLC is often diagnosed at an advanced stage and has a poor prognosis. {ECO:0000269|PubMed:22696596}. Note=The disease may be caused by mutations affecting the gene represented in this entry.	
Q9BRK3	MXRA8		
Q96S97	MYADM		
A6NDP7	MYADML2		
P10242	MYB		86849;99861;
Q9BQG0	MYBBP1A		
P10243	MYBL1		
P10244	MYBL2		
Q00872	MYBPC1	DISEASE: Arthrogryposis, distal, 1B (DA1B) [MIM:614335]: A form of distal arthrogryposis, a disease characterized by congenital joint contractures that mainly involve two or more distal parts of the limbs, in the absence of a primary neurological or muscle disease. Distal arthrogryposis type 1 is characterized largely by camptodactyly and clubfoot. Hypoplasia and/or absence of some interphalangeal creases is common. The shoulders and hips are less frequently affected. {ECO:0000269|PubMed:20045868, ECO:0000269|PubMed:26661508}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Lethal congenital contracture syndrome 4 (LCCS4) [MIM:614915]: A form of lethal congenital contracture syndrome, an autosomal recessive disorder characterized by degeneration of anterior horn neurons, extreme skeletal muscle atrophy and congenital non-progressive joint contractures. The contractures can involve the upper or lower limbs and/or the vertebral column, leading to various degrees of flexion or extension limitations evident at birth. {ECO:0000269|PubMed:22610851}. Note=The disease is caused by mutations affecting the gene represented in this entry.	1146;137783;
Q14324	MYBPC2		
Q14896	MYBPC3	DISEASE: Cardiomyopathy, familial hypertrophic 4 (CMH4) [MIM:115197]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:11499718, ECO:0000269|PubMed:11499719, ECO:0000269|PubMed:11815426, ECO:0000269|PubMed:12379228, ECO:0000269|PubMed:12628722, ECO:0000269|PubMed:12707239, ECO:0000269|PubMed:12818575, ECO:0000269|PubMed:12951062, ECO:0000269|PubMed:12974739, ECO:0000269|PubMed:14563344, ECO:0000269|PubMed:15114369, ECO:0000269|PubMed:15519027, ECO:0000269|PubMed:15563892, ECO:0000269|PubMed:16004897, ECO:0000269|PubMed:16199542, ECO:0000269|PubMed:18403758, ECO:0000269|PubMed:18929575, ECO:0000269|PubMed:18957093, ECO:0000269|PubMed:23840593, ECO:0000269|PubMed:7744002, ECO:0000269|PubMed:9048664, ECO:0000269|PubMed:9541104, ECO:0000269|PubMed:9541115, ECO:0000269|PubMed:9562578}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated 1MM (CMD1MM) [MIM:615396]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:20215591}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Note=MYBPC3 mutations may be involved in restrictive cardiomyopathy (RCM), a rare non-ischemic myocardial disease. RCM is characterized by restrictive ventricular-filling physiology in the presence of normal or reduced diastolic and/or systolic volumes (of 1 or both ventricles), biatrial enlargement, and normal ventricular wall thickness. {ECO:0000269|PubMed:26163040}.; DISEASE: Left ventricular non-compaction 10 (LVNC10) [MIM:615396]: A disease due to an arrest of myocardial morphogenesis. It is characterized by a hypertrophic left ventricle with deep trabeculations and with poor systolic function, with or without associated left ventricular dilation. In some cases, it is associated with other congenital heart anomalies. {ECO:0000269|PubMed:21551322}. Note=The disease is caused by mutations affecting the gene represented in this entry.	154;155;54260;
Q13203	MYBPH		
A2RUH7	MYBPHL		
P01106	MYC	DISEASE: Note=A chromosomal aberration involving MYC may be a cause of a form of B-cell chronic lymphocytic leukemia. Translocation t(8;12)(q24;q22) with BTG1. {ECO:0000269|PubMed:2069907}.; DISEASE: Burkitt lymphoma (BL) [MIM:113970]: A form of undifferentiated malignant lymphoma commonly manifested as a large osteolytic lesion in the jaw or as an abdominal mass. {ECO:0000269|PubMed:2166998, ECO:0000269|PubMed:8220424}. Note=The gene represented in this entry is involved in disease pathogenesis. Chromosomal aberrations involving MYC are usually found in Burkitt lymphoma. Translocations t(8;14), t(8;22) or t(2;8) which juxtapose MYC to one of the heavy or light chain immunoglobulin gene loci.	543;99861;
Q99417	MYCBP		
O75592	MYCBP2		
Q8TBZ2	MYCBPAP		
P12524	MYCL		
P04198	MYCN	DISEASE: Note=Amplification of the N-MYC gene is associated with a variety of human tumors, most frequently neuroblastoma, where the level of amplification appears to increase as the tumor progresses. {ECO:0000269|PubMed:2834684}.; DISEASE: Feingold syndrome 1 (FGLDS1) [MIM:164280]: A syndrome characterized by variable combinations of esophageal and duodenal atresias, microcephaly, learning disability, mental retardation, and limb malformations. Hand and foot abnormalities may include hypoplastic thumbs, clinodactyly of second and fifth fingers, syndactyly (characteristically between second and third and fourth and fifth toes), and shortened or absent middle phalanges. Cardiac and renal malformations, vertebral anomalies, and deafness have also been described. {ECO:0000269|PubMed:15821734, ECO:0000269|PubMed:16906565}. Note=The disease is caused by mutations affecting the gene represented in this entry.	391641;635;357034;
P40205	MYCNOS		
Q99836	MYD88	DISEASE: MYD88 deficiency (MYD88D) [MIM:612260]: Patients suffer from autosomal recessive, life-threatening, often recurrent pyogenic bacterial infections, including invasive pneumococcal disease, and die between 1 and 11 months of age. Surviving patients are otherwise healthy, with normal resistance to other microbes, and their clinical status improved with age. {ECO:0000269|PubMed:18669862, ECO:0000269|PubMed:21057262, ECO:0000269|PubMed:24316379}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Note=Defects in MYD88 are frequently found in many hematological malignancies, such as activated B-cell type diffuse large B-cell lymphoma (ABC-DLBCL), Waldenstroem's macroglobulinemia, cutaneous diffuse large B cell lymphoma (CBCL) and primary central nervous system lymphoma (PCNSL). {ECO:0000269|PubMed:21179087, ECO:0000269|PubMed:22931316}.	183713;33226;
Q969H8	MYDGF		
Q9P2K5	MYEF2		
P13349	MYF5		
P23409	MYF6	DISEASE: Myopathy, centronuclear, 3 (CNM3) [MIM:614408]: A congenital muscle disorder characterized by progressive muscular weakness and wasting involving mainly limb girdle, trunk, and neck muscles. It may also affect distal muscles. Weakness may be present during childhood or adolescence or may not become evident until the third decade of life. Ptosis is a frequent clinical feature. The most prominent histopathologic features include high frequency of centrally located nuclei in muscle fibers not secondary to regeneration, radial arrangement of sarcoplasmic strands around the central nuclei, and predominance and hypotrophy of type 1 fibers. {ECO:0000269|PubMed:11053684, ECO:0000269|Ref.7}. Note=The disease may be caused by mutations affecting the gene represented in this entry.	169189;
P12882	MYH1		
P35580	MYH10		
P35749	MYH11	DISEASE: Note=A chromosomal aberration involving MYH11 is found in acute myeloid leukemia of M4EO subtype. Pericentric inversion inv(16)(p13;q22). The inversion produces a fusion protein consisting of the 165 N-terminal residues of CBF-beta (PEPB2) and the tail region of MYH11.; DISEASE: Aortic aneurysm, familial thoracic 4 (AAT4) [MIM:132900]: A disease characterized by permanent dilation of the thoracic aorta usually due to degenerative changes in the aortic wall. It is primarily associated with a characteristic histologic appearance known as 'medial necrosis' or 'Erdheim cystic medial necrosis' in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance. {ECO:0000269|PubMed:16444274}. Note=The disease is caused by mutations affecting the gene represented in this entry.	98829;229;91387;
Q9UKX3	MYH13		
Q7Z406	MYH14	DISEASE: Deafness, autosomal dominant, 4A (DFNA4A) [MIM:600652]: A form of non-syndromic sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information. {ECO:0000269|PubMed:15015131, ECO:0000269|PubMed:16222661}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Peripheral neuropathy, myopathy, hoarseness, and hearing loss (PNMHH) [MIM:614369]: A complex phenotype of progressive peripheral neuropathy and distal myopathy, with later onset of hoarseness and hearing loss. Affected individuals develop distal muscle weakness at a mean age of 10.6 years, followed by progressive atrophy of these muscles. The lower limbs are more severely affected than the upper limbs, and the muscle weakness first affects anterior leg muscles and later posterior leg muscles. {ECO:0000269|PubMed:21480433}. Note=The disease is caused by mutations affecting the gene represented in this entry.	90635;397744;
Q9UKX2	MYH2	DISEASE: Myopathy, proximal, and ophthalmoplegia (MYPOP) [MIM:605637]: A muscular disorder characterized by mild-to-moderate muscle weakness, ophthalmoplegia, and contractures at birth in some patients. Muscle biopsies from patients show predominance of type 1 fibers and small or absent type 2A fibers. The disease is non-progressive or it progresses very slowly. Inheritance is autosomal dominant or recessive. {ECO:0000269|PubMed:11114175}. Note=The disease is caused by mutations affecting the gene represented in this entry.	363677;79091;
P11055	MYH3	DISEASE: Arthrogryposis, distal, 2A (DA2A) [MIM:193700]: A form of distal arthrogryposis, a disease characterized by congenital joint contractures that mainly involve two or more distal parts of the limbs, in the absence of a primary neurological or muscle disease. DA2A is characterized by contractures of the hands and feet, oropharyngeal abnormalities, scoliosis, and a distinctive face that includes a very small oral orifice, puckered lips, and an H-shaped dimple of the chin. {ECO:0000269|PubMed:16642020}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Arthrogryposis, distal, 2B (DA2B) [MIM:601680]: A form of distal arthrogryposis, a disease characterized by congenital joint contractures that mainly involve two or more distal parts of the limbs, in the absence of a primary neurological or muscle disease. DA2B is characterized by contractures of the hands and feet, and a distinctive face characterized by prominent nasolabial folds, small mouth and downslanting palpebral fissures. {ECO:0000269|PubMed:16642020}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Arthrogryposis, distal, 8 (DA8) [MIM:178110]: A form of distal arthrogryposis, a disease characterized by congenital joint contractures that mainly involve two or more distal parts of the limbs, in the absence of a primary neurological or muscle disease. {ECO:0000269|PubMed:25957469}. Note=The disease is caused by mutations affecting the gene represented in this entry.	1146;2053;1147;
